val_loss,val_offset,epoch,step,train_loss,train_offset
647198.0,776027.6875,78,710,,
,,78,710,387129.40625,57870.30859375
644569.375,773701.375,79,719,,
,,79,719,386019.0,54136.76171875
642114.8125,771521.375,80,728,,
,,80,728,385473.15625,54217.5
638063.3125,766898.8125,81,737,,
,,81,737,385129.375,49433.7734375
635947.5625,765053.75,82,746,,
,,82,746,383665.375,43470.70703125
633632.1875,762825.0,83,755,,
,,83,755,383649.28125,44476.0625
631764.4375,761180.125,84,764,,
,,84,764,382676.65625,43338.80078125
630283.4375,760055.125,85,773,,
,,85,773,382126.3125,38637.03125
629289.9375,759568.0,86,782,,
,,86,782,381751.9375,37737.3203125
627212.0625,757411.0,87,791,,
,,87,791,381654.75,37190.16796875
625292.875,755427.875,88,800,,
,,88,800,381117.90625,36444.58203125
623602.5625,753733.5625,89,809,,
,,89,809,380399.28125,34059.3203125
621948.625,752050.5625,90,818,,
,,90,818,380116.875,31879.978515625
620912.5625,751238.1875,91,827,,
,,91,827,380167.34375,30660.126953125
618894.625,748908.375,92,836,,
,,92,836,380441.15625,27871.8125
617508.75,747479.875,93,845,,
,,93,845,379505.40625,24642.10546875
615846.5,745590.3125,94,854,,
,,94,854,379754.4375,25996.654296875
614318.125,743863.875,95,863,,
,,95,863,378994.6875,24740.923828125
613383.4375,742998.3125,96,872,,
,,96,872,379470.4375,22029.591796875
612706.9375,742495.8125,97,881,,
,,97,881,379347.59375,23157.736328125
611901.3125,741763.5,98,890,,
,,98,890,378943.9375,19703.771484375
610030.375,739406.1875,99,899,,
,,99,899,378951.0625,21486.6953125
609688.125,739329.375,100,908,,
,,100,908,379142.34375,16742.603515625
609839.6875,739955.875,101,917,,
,,101,917,378338.28125,17850.017578125
607380.9375,736635.25,102,926,,
,,102,926,377979.65625,19531.611328125
607978.5625,737902.8125,103,935,,
,,103,935,378054.625,14485.7265625
607266.875,737173.9375,104,944,,
,,104,944,378296.75,19118.259765625
606538.6875,736407.4375,105,953,,
,,105,953,378000.5,15611.3984375
605944.3125,735833.875,106,962,,
,,106,962,377402.65625,14622.3115234375
604423.375,733858.25,107,971,,
,,107,971,377170.84375,14097.109375
603543.8125,732829.4375,108,980,,
,,108,980,378062.65625,12205.0068359375
602658.6875,731797.9375,109,989,,
,,109,989,377268.4375,13168.3251953125
603099.9375,732783.0,110,998,,
,,110,998,377270.28125,9441.8876953125
602636.8125,732386.875,111,1007,,
,,111,1007,376479.15625,13972.875
601837.3125,731505.0,112,1016,,
,,112,1016,376406.75,11079.8779296875
600435.6875,729716.1875,113,1025,,
,,113,1025,376223.5625,14416.7138671875
600816.375,730696.5,114,1034,,
,,114,1034,375768.375,12939.029296875
602062.0625,732992.9375,115,1043,,
,,115,1043,375651.65625,12376.337890625
601153.8125,732084.1875,116,1052,,
,,116,1052,375508.34375,15061.31640625
599832.0,730617.875,117,1061,,
,,117,1061,375047.09375,15313.7763671875
598712.125,729597.9375,118,1070,,
,,118,1070,374222.90625,12171.775390625
598527.3125,730174.0625,119,1079,,
,,119,1079,373735.9375,14410.6767578125
596769.375,728694.75,120,1088,,
,,120,1088,372417.84375,18089.048828125
596287.1875,730064.1875,121,1097,,
,,121,1097,370547.90625,16986.27734375
596084.875,732132.625,122,1106,,
,,122,1106,367971.25,20764.98828125
591278.0,730016.0,123,1115,,
,,123,1115,364194.53125,27993.404296875
586877.8125,732532.8125,124,1124,,
,,124,1124,357227.9375,37074.5
582059.5625,772958.375,125,1133,,
,,125,1133,333797.3125,80792.9140625
553994.8125,729485.3125,126,1142,,
,,126,1142,273017.59375,258085.734375
523286.875,680743.25,127,1151,,
,,127,1151,248217.09375,246908.515625
496569.34375,645687.25,128,1160,,
,,128,1160,236596.734375,217771.625
473210.46875,592852.0,129,1169,,
,,129,1169,224966.203125,210930.4375
453923.15625,556854.3125,130,1178,,
,,130,1178,218599.4375,183615.375
436018.09375,543387.875,131,1187,,
,,131,1187,210327.125,176138.4375
420704.875,532215.1875,132,1196,,
,,132,1196,205012.28125,146807.59375
408837.90625,500531.9375,133,1205,,
,,133,1205,198755.0,145404.921875
